word	frequency
erilist	325
töötan	325
võita	324
hakkavad	324
kallal	323
kirjutada	323
valus	323
tänaval	323
täiuslik	323
vahest	323
tähele	322
juhtu	322
laskma	322
puutu	322
usalda	322
venna	322
kaugusel	321
jõuda	321
mõtet	321
hooli	321
lennuk	321
selgeks	320
õigesti	320
korral	320
uued	320
vaevalt	319
südame	319
kaotanud	319
otsime	318
maad	318
majja	318
lasi	317
kaela	316
soovib	316
ööl	316
kaotasin	316
värdjas	316
kutsuda	315
joo	315
rooma	315
viimati	314
juttu	314
tõsine	314
kuninganna	314
olukord	314
asub	313
poisi	313
endaga	313
e	313
annad	312
paremat	311
püüa	311
tulite	310
puu	310
rahulik	310
pööra	310
vaatasin	309
millised	309
häält	309
keera	308
tund	308
arsti	308
oskan	308
põrgut	308
ühest	308
vasakule	307
uudiseid	307
pannud	307
kuulata	307
leiad	307
millestki	307
juht	306
minut	306
huvitatud	306
vanad	305
prantsuse	305
päriselt	305
naisi	305
tegite	304
hüva	304
pilt	303
peagi	303
sõbra	302
san	302
marge	302
jälgi	301
õlut	301
sooviksin	301
kanda	301
voodis	301
autos	300
musta	300
kutsub	300
vabalt	300
kavatsen	300
kuum	300
hääl	300
kurb	300
leidsime	299
maksa	299
liha	299
paned	299
natukene	298
liigu	298
loo	298
kaotada	298
näljane	298
tohib	297
kaitsta	297
lõuna	297
proovida	297
tasuta	297
toru	297
hetkeks	296
lahkus	296
õnnetus	295
hotelli	295
muide	295
prints	295
jerry	295
lee	294
politseinik	294
parima	294
loodetavasti	294
viimast	293
emale	293
kuulete	293
nõbu	293
kiri	293
viimasel	292
suurim	292
mures	291
kavatse	291
anname	291
paks	290
surema	289
sedasi	289
laiali	289
peatada	288
ajas	288
arvasid	288
sult	288
viima	288
tähenda	287
jala	287
lasid	287
püsi	287
õppida	287
mängib	287
usud	287
jake	287
kohtunud	286
prue	286
vaikselt	285
jõule	285
pidevalt	284
huvitab	284
võimaluse	284
uskuma	284
ed	284
steve	284
rachel	284
elanud	283
suudaks	283
süütu	283
pääseda	283
kuul	282
laua	282
und	282
pime	282
kah	282
inspektor	282
liigume	281
pääse	281
ühele	281
suureks	280
olles	280
tõid	280
peas	280
lähemale	280
takso	280
ee	280
lisaks	279
näevad	279
ühtki	279
karm	279
toitu	279
mark	279
jõud	278
eriline	278
sõnu	277
iialgi	277
võmm	277
sitt	277
maksan	276
naela	276
vaikust	276
minule	276
lucy	276
kohutavalt	275
film	275
tüüpi	275
parimad	275
voodi	275
maale	275
d	275
päike	275
kirjuta	274
aju	274
mehele	274
meeste	273
terveks	273
teeksid	273
hetke	272
vean	272
simpson	272
lahkun	271
arvuti	271
eales	271
muretsege	271
tulista	271
kummaline	270
vangi	270
hakkasin	270
meeskond	270
kutsus	270
igavene	270
veini	270
ärka	270
panema	269
purjus	269
puhtaks	269
linnast	269
kutsutakse	269
leiti	268
armee	268
löön	268
moel	268
naisele	267
meelega	267
poisu	267
meetrit	267
siga	267
võmmid	267
majast	266
nõnda	266
palus	266
leiab	266
kivi	266
jäävad	265
arvatud	265
käsk	265
the	265
kristus	265
teeninud	264
nägite	264
kauaks	264
öeldes	264
seisa	264
võtmed	264
nimelt	263
doc	263
asjade	262
laseb	262
aitama	262
perekonna	262
kallike	262
kõrgus	262
richard	261
usaldada	261
armasta	261
ootavad	261
jätka	261
lennata	261
sõidame	261
kellelgi	260
advokaat	260
kuuleb	260
brian	260
meelest	259
tõenäoliselt	259
veider	259
kellest	259
hing	259
martin	258
tänulik	258
pete	258
rikas	258
elust	257
astu	257
keeles	257
pealik	257
müüa	257
näkku	256
võlgu	256
piisab	256
jätsin	256
rõõmus	256
hirmus	256
vastik	256
kirjutas	256
vaatab	255
ohvitser	255
c	255
teisele	254
võimas	254
kass	254
nelja	253
tulime	253
aeglaselt	253
henry	252
töötas	252
firma	252
uurida	252
jätsid	252
mõrva	251
sada	251
van	251
